"","Short_Name","the_geom","Address","Lat","Long","Grade_Cat","AM_Bell_1415","PM_Bell_1415","AM_Bell_1516","PM_Bell_1415.1","changedBell"
"638","WELLS ES","POINT (-87.61977965997495 41.82735526599218)","249 E 37th St",41.827355,-87.61978,"ES",NA,NA,NA,NA,0
"639","WELLS HS","POINT (-87.66748286871373 41.898994707393015)","936 N Ashland Ave",41.898995,-87.667483,"HS","8:00 AM","3:15 PM","9:00 AM","3:15 PM",1
"640","WENTWORTH","POINT (-87.6582048358614 41.765075895967996)","1340 W 71st St",41.765076,-87.658205,"ES",NA,NA,NA,NA,0
"641","WEST PARK","POINT (-87.73244309617895 41.90690720465881)","1425 N Tripp Ave",41.906907,-87.732443,"ES",NA,NA,NA,NA,0
"642","WEST RIDGE","POINT (-87.70591720544945 42.00295899409873)","6700 N Whipple St",42.002959,-87.705917,"ES",NA,NA,NA,NA,0
"643","WESTCOTT","POINT (-87.63475051610581 41.74886822495086)","409 W 80th St",41.748868,-87.634751,"ES",NA,NA,NA,NA,0
"644","WESTINGHOUSE HS","POINT (-87.70733230851017 41.88997720284965)","3223 W Franklin Blvd",41.889977,-87.707332,"HS",NA,NA,NA,NA,0
"645","WHISTLER","POINT (-87.65538382157727 41.68390700953974)","11533 S Ada St",41.683907,-87.655384,"ES",NA,NA,NA,NA,0
"646","WHITE","POINT (-87.6505385418787 41.672309406220215)","1136 W 122nd St",41.672309,-87.650539,"ES",NA,NA,NA,NA,0
"647","WHITNEY","POINT (-87.72554564238642 41.84008042673928)","2815 S Komensky Ave",41.84008,-87.725546,"ES",NA,NA,NA,NA,0
"648","WHITTIER","POINT (-87.67339165459607 41.85048088648075)","1900 W 23rd St",41.850481,-87.673392,"ES",NA,NA,NA,NA,0
"649","WILDWOOD","POINT (-87.77834486172273 42.00749066939125)","6950 N Hiawatha Ave",42.007491,-87.778345,"ES",NA,NA,NA,NA,0
"650","WILLIAMS HS","POINT (-87.62502998016339 41.806117596594504)","4934 S Wabash Ave",41.806118,-87.62503,"HS",NA,NA,NA,NA,0
"651","WOODLAWN","POINT (-87.5943919960078 41.773365531206366)","6657 S Kimbark Ave",41.773366,-87.594392,"ES",NA,NA,NA,NA,0
"652","WOODSON","POINT (-87.6084187686334 41.81449879541944)","4414 S Evans Ave",41.814499,-87.608419,"ES",NA,NA,NA,NA,0
"653","WORLD LANGUAGE HS","POINT (-87.73529221690441 41.8343966167672)","3120 S Kostner Ave",41.834397,-87.735292,"HS",NA,NA,NA,NA,0
"654","YATES","POINT (-87.70028031304513 41.9150385469464)","1839 N Richmond St",41.915039,-87.70028,"ES",NA,NA,NA,NA,0
"655","YCCS - ADDAMS","POINT (-87.64488797557976 41.85720785611458)","1814 S Union Ave",41.857208,-87.644888,"HS",NA,NA,NA,NA,0
"656","YCCS - ASPIRA PANTOJA","POINT (-87.72713735979745 41.93818660277678)","3121 N Pulaski Rd",41.938187,-87.727137,"HS",NA,NA,NA,NA,0
"657","YCCS - ASSOCIATION HOUSE","POINT (-87.70685988337249 41.901572406590965)","1116 N Kedzie Ave",41.901572,-87.70686,"HS",NA,NA,NA,NA,0
"658","YCCS - AUSTIN CAREER","POINT (-87.76022117541595 41.894976390364945)","5352 W Chicago Ave",41.894976,-87.760221,"HS",NA,NA,NA,NA,0
"659","YCCS - CAMPOS","POINT (-87.69600602271211 41.90284969690219)","2739 W Division St",41.90285,-87.696006,"HS",NA,NA,NA,NA,0
"660","YCCS - CCA ACADEMY","POINT (-87.72366217187063 41.864943352149254)","1231 S Pulaski Rd",41.864943,-87.723662,"HS",NA,NA,NA,NA,0
"661","YCCS - CHATHAM","POINT (-87.60697990890328 41.73013138447743)","9035 S Langley Ave",41.730131,-87.60698,"HS",NA,NA,NA,NA,0
"662","YCCS - HOUSTON","POINT (-87.61356238526882 41.77418269849911)","6620 S Dr Martin Luther King Jr Dr",41.773962,-87.61574,"HS",NA,NA,NA,NA,0
